CD_CVM;DENOM_CIA;CNPJ_CIA;SETOR_ATIV;Numero_Acoes;Ticker;Tipo_Acao;Ano;Versao;Ativo Total;Ativo Circulante;Passivo Total;Passivo Circulante;Empréstimos e Financiamentos - Circulante;Passivo Não Circulante;Empréstimos e Financiamentos - Não Circulante;Patrimônio Líquido Consolidado;Receita de Venda de Bens e/ou Serviços;Custo dos Bens e/ou Serviços Vendidos;Resultado Bruto;Resultado Antes do Resultado Financeiro e dos Tributos;Resultado Financeiro;Receitas Financeiras;Despesas Financeiras;Resultado Antes dos Tributos sobre o Lucro;Lucro/Prejuízo Consolidado do Período;Caixa Líquido Atividades Operacionais;Pagamento de Dividendos;Pagamento de Dividendos à Controladora;Pagamento de Dividendos a Acionistas Não Controladores;Pagamento de Juros sobre Capital Próprio
21334;NUTRIPLANT INDUSTRIA E COMERCIO S.A.;51.128.999/0001-90;Agricultura (Açúcar, Álcool e Cana);13233400;NUTR3;Ordinárias;2024;DFP;103283;71637;103283;34939;3065;33465;2881;34879;179054;-149680;29374;-19544;9830;2437;-7543;-5106;4724;7974;;;;
21350;DIRECIONAL ENGENHARIA S.A.;16.614.075/0001-00;Construção Civil, Mat. Constr. e Decoração;520461672;DIRR3;Ordinárias;2023;DFP;6489415;2777103;6489415;918216;39233;4121504;1099925;1449695;2162616;-1428891;733725;-358312;375413;195489;-269367;-73878;301535;220357;0;;;
21350;DIRECIONAL ENGENHARIA S.A.;16.614.075/0001-00;Construção Civil, Mat. Constr. e Decoração;520461672;DIRR3;Ordinárias;2024;DFP;7571598;3583355;7571598;1042766;45411;4418246;1101759;2110586;2355183;-1550208;804975;-382240;422735;302169;-288045;14124;436859;-171010;0;;;
21431;HYPERA S.A.;02.932.074/0001-91;Farmacêutico e Higiene;632941012;HYPE3;Ordinárias;2023;DFP;23755633;8530120;23755633;5225194;378933;7874998;7376881;10655441;7546355;-2784831;4761524;-2278773;2482751;251040;-1122687;-871647;1611104;2038793;0;;;
21431;HYPERA S.A.;02.932.074/0001-91;Farmacêutico e Higiene;632941012;HYPE3;Ordinárias;2024;DFP;24508751;8077766;24508751;4644236;442286;8346642;7817240;11517873;7914658;-2919114;4995544;-2477733;2517811;247605;-1255941;-1008336;1509475;2395993;0;;;
21490;ALUPAR INVESTIMENTO S/A;08.364.948/0001-38;Emp. Adm. Part. - Energia Elétrica;1211277718;ALUP3;Ordinárias;2023;DFP;27933932;5391721;27933932;2558195;45325;15004118;10521340;10371619;3833708;-692653;3141055;-275100;2865955;253900;-1220026;-966126;1899829;2313705;;;;
21490;ALUPAR INVESTIMENTO S/A;08.364.948/0001-38;Emp. Adm. Part. - Energia Elétrica;1211277718;ALUP3;Ordinárias;2024;DFP;28436081;5419566;28436081;3248718;45654;14558573;9676884;10628790;3311381;-797767;2513614;-155919;2357695;281951;-1159383;-877432;1480263;2376712;;;;
21490;ALUPAR INVESTIMENTO S/A;08.364.948/0001-38;Emp. Adm. Part. - Energia Elétrica;331481163; ALUP4;Preferenciais;2023;DFP;27933932;5391721;27933932;2558195;45325;15004118;10521340;10371619;3833708;-692653;3141055;-275100;2865955;253900;-1220026;-966126;1899829;2313705;;;;
21490;ALUPAR INVESTIMENTO S/A;08.364.948/0001-38;Emp. Adm. Part. - Energia Elétrica;331481163; ALUP4;Preferenciais;2024;DFP;28436081;5419566;28436081;3248718;45654;14558573;9676884;10628790;3311381;-797767;2513614;-155919;2357695;281951;-1159383;-877432;1480263;2376712;;;;
21490;ALUPAR INVESTIMENTO S/A;08.364.948/0001-38;Emp. Adm. Part. - Energia Elétrica;329626866; ALUP11;Outras;2023;DFP;27933932;5391721;27933932;2558195;45325;15004118;10521340;10371619;3833708;-692653;3141055;-275100;2865955;253900;-1220026;-966126;1899829;2313705;;;;
